SEParticipantId,SE_Condition,SE_Placement,SE_LabelType,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
7.0,CCTM,Concurrent,Mix,90.0,80.0,80.0,80.0,70.0,70.0,60.0,60.0,40.0,30.0
7.0,PEEx,PostExposure,Explicit,90.0,90.0,80.0,70.0,60.0,60.0,60.0,40.0,30.0,30.0
7.0,PEIm,PostExposure,Implicit,90.0,90.0,90.0,80.0,80.0,80.0,70.0,50.0,40.0,30.0
7.0,PEM,PostExposure,Mix,90.0,80.0,70.0,70.0,70.0,70.0,60.0,40.0,30.0,20.0
8.0,CCTEx,Concurrent,Explicit,90.0,80.0,80.0,70.0,60.0,50.0,40.0,20.0,20.0,0.0
8.0,CCTIm,Concurrent,Implicit,90.0,90.0,80.0,80.0,50.0,30.0,30.0,20.0,10.0,10.0
8.0,CCTM,Concurrent,Mix,100.0,100.0,80.0,70.0,50.0,40.0,40.0,20.0,20.0,10.0
8.0,PEEx,PostExposure,Explicit,100.0,90.0,80.0,80.0,60.0,50.0,50.0,30.0,30.0,20.0
8.0,PEIm,PostExposure,Implicit,100.0,90.0,90.0,70.0,60.0,30.0,30.0,30.0,10.0,10.0
8.0,PEM,PostExposure,Mix,100.0,90.0,90.0,80.0,60.0,50.0,40.0,30.0,20.0,20.0
8.0,Control,Control,Control,100.0,90.0,90.0,80.0,70.0,60.0,60.0,40.0,40.0,20.0
9.0,CCTIm,Concurrent,Implicit,90.0,80.0,80.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
9.0,CCTM,Concurrent,Mix,70.0,70.0,70.0,60.0,60.0,20.0,20.0,20.0,20.0,20.0
9.0,PEEx,PostExposure,Explicit,80.0,80.0,80.0,80.0,80.0,80.0,80.0,20.0,10.0,10.0
9.0,PEIm,PostExposure,Implicit,80.0,80.0,80.0,80.0,30.0,20.0,20.0,20.0,10.0,10.0
9.0,PEM,PostExposure,Mix,80.0,80.0,80.0,80.0,30.0,30.0,20.0,20.0,10.0,10.0
9.0,Control,Control,Control,80.0,80.0,80.0,80.0,80.0,50.0,40.0,30.0,20.0,20.0
9.0,CCTEx,Concurrent,Explicit,100.0,80.0,80.0,80.0,80.0,30.0,20.0,20.0,20.0,10.0
